"state_id","state_name","country_id","status"
"1521","Alabama","224","1"
"1522","Alaska","224","1"
"1523","Arizona","224","1"
"1524","Arkansas","224","1"
"1525","California","224","1"
"1526","Colorado","224","1"
"1527","Connecticut","224","1"
"1528","District of Columbia","224","1"
"1529","Florida","224","1"
"1530","Georgia","224","1"
"1531","Hawaii","224","1"
"1532","Idaho","224","1"
"1533","Illinois","224","1"
"1534","Indiana","224","1"
"1535","Iowa","224","1"
"1536","Kansas","224","1"
"1537","Kentucky","224","1"
"1538","Louisiana","224","1"
"1539","Maryland","224","1"
"1540","Massachusetts","224","1"
"1541","Michigan","224","1"
"1542","Minnesota","224","1"
"1543","Mississippi","224","1"
"1544","Missouri","224","1"
"1545","Montana","224","1"
"1546","Nebraska","224","1"
"1547","Nevada","224","1"
"1548","New Hampshire","224","1"
"1549","New Jersey","224","1"
"1550","New Mexico","224","1"
"1551","New York","224","1"
"1552","North Carolina","224","1"
"1553","Ohio","224","1"
"1554","Oklahoma","224","1"
"1555","Oregon","224","1"
"1556","Pennsylvania","224","1"
"1557","Rhode Island","224","1"
"1558","South Carolina","224","1"
"1559","South Dakota","224","1"
"1560","Tennessee","224","1"
"1561","Texas","224","1"
"1562","Utah","224","1"
"1563","Virginia","224","1"
"1564","Washington","224","1"
"1565","Wisconsin","224","1"
